employee_id,first_name,last_name,gender,department,job_title,education_level,performance_rating,state,home_city,base_location,hiredate,birthdate,termination_date,overtime,salary,adjusted_salary
SM - 00001,Rohit,Soman,male,Sales & Marketing,Pre-Sales Consultant,Bachelor,Meets,Maharashtra,Mumbai,New Delhi,03-09-2022,03-01-1987,,No,411299,552121.8342225129
DA - 00002,Vamsi,Kumar,male,Data & Analytics,Data Scientist,Master,Partial,Andhra Pradesh,Visakhapatnam,Bengaluru,23-03-2015,07-03-1976,,No,789004,1253984.5915399347
QA - 00003,Kavitha,Shivaram,female,Quality Assurance & Testing,Security Tester,Master,Meets,Karnataka,Mangaluru,Hyderabad,03-07-2024,29-10-1979,,No,495867,759556.1147559229
CSRV - 00004,Cecilia,Desai,female,Customer Service,Customer Support Engineer,Bachelor,Meets,Goa,Margao,Bengaluru,06-06-2021,09-11-1983,,No,274870,373366.5010095242
SD - 00005,Chandana,Bose,female,Software Development,React.js Developer,Master,Below,West Bengal,Kharagpur,Hyderabad,08-09-2022,27-04-1977,,No,1284926,2129283.6339047034
SD - 00006,Arjun,Siddiqui,male,Software Development,React.js Developer,Master,Exceeds,Telangana,Nalgonda,New Delhi,18-12-2017,29-07-1973,,No,980205,1587723.344132921
RD - 00007,Sunita,Carvalho,female,Research & Development (R&D),R&D Engineer,Bachelor,Meets,Goa,Panaji,Pune,13-02-2021,09-09-1979,,No,548154,757258.6398263011
SM - 00008,Sunita,Barreto,female,Sales & Marketing,Account Manager,Master,Meets,Goa,Margao,Bengaluru,29-12-2021,17-03-1968,,No,1551768,2628587.0323475525
SD - 00009,Bhavesh,Pandya,male,Software Development,Embedded Systems Engineer,Bachelor,Meets,Gujarat,Gandhinagar,Kolkata,12-02-2021,02-04-1972,,No,730331,977252.3464296381
CSRV - 00010,Mamta,Bhagat,female,Customer Service,CRM Specialist,Bachelor,Exceeds,Jharkhand,Dhanbad,Pune,06-09-2021,31-07-1987,,No,410922,557301.0237041606
CD - 00011,Twinkle,Barot,female,Cloud & DevOps,Platform Engineer,Bachelor,Exceeds,Gujarat,Surat,Bengaluru,19-01-2016,01-04-1972,02-11-2016,Yes,631755,907544.8800029452
AI - 00012,Meera,Kunwar,female,AI & Machine Learning,Prompt Engineer,Bachelor,Meets,Uttarakhand,Haridwar,Bengaluru,16-10-2024,07-07-1992,,No,2324287,3059199.480076079
SD - 00013,Chetan,Patel,male,Software Development,Mobile App Developer,Bachelor,Exceeds,Gujarat,Ahmedabad,Bengaluru,05-08-2018,08-08-1979,,Yes,2708231,3578139.5059986305
AD - 00014,Donyi,Adi,male,Administration,Executive Assistant,Bachelor,Exceeds,Arunachal Pradesh,Itanagar,Hyderabad,28-04-2021,13-03-1986,,No,727110,960002.8442580581
